Image	Head_height_with_hair	Head_height_without_hair	Head_width	Direction_sight	Stripe_height_red	Stripe_height_white	Nber_vertical_stripes	Note
1	20	14	12	center	3	2	6	
2	20	14	11	right	3	3	4	
3	22	16	11	center	3	3	2	
4	21	16	10	right	4	3	7	
5	27	22	14	center	4	3	8	
6	27	19	13	right	6	5	9	Perfect template?
7	55	45	19	right	11	7	6	Freak
8	10	?	5	right	NA	?	5	Low res
9	21	15	10	right	4	3	6	
10	15	11	8	right	3	3	9	
11	15	11	8	right	3	3	8	
12	36	26	17	right	7	6	8	
13	20	14	10	center	NA	NA	0	head only
15	25	20	11	center	NA	NA	1	head + shoulders
17	28	21	14	right	5	4	6	
18	38	27	28	right	5	5	2	head + shoulders
20	18	13	9	right	3	3	7	Low res
21	41	31	17	right	6	4	6	
22	43	30	17	right	NA	NA	2	head + shoulders
23	?	?	?	right	NA	NA	NA	Low res
25	29	24	10	right	NA	NA	0	head only
26	27	20	14	right	NA	NA	0	head only
27	48	34	13	right	7	6	9	
